date,army_size,zymotic,wounds,other
1854-04,8571,1,0,5
1854-05,23333,12,0,9
1854-06,28333,11,0,6
1854-07,28722,359,0,23
1854-08,30246,828,1,30
1854-09,30290,788,81,70
1854-10,30643,503,132,128
1854-11,29736,844,287,106
1854-12,32779,1725,114,131
1855-01,32393,2761,83,324
1855-02,30919,2120,42,361
1855-03,30107,1205,32,172
1855-04,32252,477,48,57
1855-05,35473,508,49,37
1855-06,38863,802,209,31
1855-07,42647,382,134,33
1855-08,44614,483,164,25
1855-09,47751,189,276,20
1855-10,46852,128,53,18
1855-11,37853,178,33,32
1855-12,43217,91,18,28
1856-01,44212,42,2,48
1856-02,43485,24,0,19
1857-03,46140,15,0,35