length,type,grain
3,straw,rye
4,straw,wheat
4,straw,wheat
5,straw,rye
6,straw,wheat
3,straw,wheat
1,straw,wheat
4,straw,wheat
7,straw,wheat
2,straw,wheat
4,straw,wheat
5,straw,wheat
6,straw,rye
3,straw,wheat
1,straw,wheat
4,straw,wheat
5,straw,wheat
7,straw,wheat
8,straw,rye
5,straw,wheat
6,straw,wheat
3,straw,wheat
5,straw,rye
6,straw,wheat
8,straw,wheat
9,straw,rye
6,straw,wheat
4,straw,wheat
2,straw,wheat
2,straw,rye
5,straw,wheat
7,straw,wheat
10,straw,wheat
7,straw,rye
3,straw,wheat
5,straw,wheat
7,straw,wheat
7,straw,rye
8,straw,wheat
5,straw,wheat
6,straw,wheat
3,straw,rye
5,straw,wheat
6,straw,wheat
8,straw,wheat
9,straw,wheat
6,straw,wheat
8,straw,wheat
9,straw,rye
6,straw,wheat
4,straw,wheat
2,straw,wheat
2,straw,wheat
5,straw,rye
7,straw,wheat
8,straw,wheat
9,straw,rye
2,straw,wheat
2,straw,wheat
5,straw,rye
7,straw,rye
10,straw
12,straw